date,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote,name
2018-12-03,4160.55000000,4179.00000000,3827.00000000,3884.01000000,49094.36916300,1543881599999,195055919.54337287,207134,23219.63434500,92281403.04797230,BTCUSDT
2018-12-04,3884.76000000,4085.00000000,3781.00000000,3951.64000000,48489.55161300,1543967999999,191673423.70626591,220815,23934.23590600,94658347.08020414,BTCUSDT
2018-12-05,3950.98000000,3970.00000000,3745.00000000,3769.84000000,44004.79944800,1544054399999,169404368.19157183,199011,20500.98159300,78965669.66403113,BTCUSDT
2018-12-06,3768.44000000,3899.99000000,3500.00000000,3508.75000000,68378.79694300,1544140799999,254722331.49494052,293512,32658.46138500,121928277.43586436,BTCUSDT
2018-12-07,3508.75000000,3549.99000000,3224.60000000,3403.55000000,95145.45744200,1544227199999,322364604.28020887,413521,47770.63779200,161888033.89864395,BTCUSDT
2018-12-08,3403.57000000,3495.00000000,3222.00000000,3410.93000000,55365.94994900,1544313599999,187909876.24894739,253650,29371.74109100,99748773.25286005,BTCUSDT
2018-12-09,3411.36000000,3658.00000000,3394.04000000,3545.37000000,45956.89329600,1544399999999,161618597.82859049,194567,23399.94560800,82219737.93505480,BTCUSDT
2018-12-10,3548.49000000,3610.00000000,3370.11000000,3432.88000000,40989.24455300,1544486399999,142507933.07357893,192599,20615.03825500,71728122.27762427,BTCUSDT
2018-12-11,3434.01000000,3480.00000000,3324.32000000,3380.39000000,35920.86415400,1544572799999,121841475.29281934,162266,18443.62671400,62566361.86365689,BTCUSDT
2018-12-12,3379.23000000,3492.00000000,3350.00000000,3445.00000000,33922.93128600,1544659199999,116227185.79240071,152067,18127.19870600,62102213.79885198,BTCUSDT
2018-12-13,3446.38000000,3460.00000000,3255.50000000,3302.06000000,40040.91701300,1544745599999,134817053.72748312,160471,19671.31507900,66262762.30044974,BTCUSDT
2018-12-14,3302.06000000,3335.39000000,3177.00000000,3224.17000000,44492.98380700,1544831999999,145101409.49359843,184525,22546.67012800,73559210.30184719,BTCUSDT
2018-12-15,3225.19000000,3276.50000000,3156.26000000,3211.72000000,29796.04143600,1544918399999,95588793.64058845,139806,16044.57843000,51480397.90105426,BTCUSDT
2018-12-16,3211.71000000,3294.00000000,3186.00000000,3228.67000000,24628.80853800,1545004799999,80068159.40481837,125565,13109.77351300,42626126.40565618,BTCUSDT
2018-12-17,3229.22000000,3585.00000000,3216.00000000,3509.08000000,66761.75169700,1545091199999,228756567.64954673,283814,34567.21443800,118345866.95801295,BTCUSDT
2018-12-18,3509.03000000,3678.59000000,3424.47000000,3652.98000000,61369.61525700,1545177599999,216563775.02523194,296433,32075.60052100,113218237.08727912,BTCUSDT
2018-12-19,3653.00000000,3912.73000000,3622.55000000,3662.22000000,94137.34101400,1545263999999,352638213.53853138,434026,48106.75890700,180189225.29899420,BTCUSDT
2018-12-20,3660.01000000,4120.00000000,3635.00000000,4049.62000000,101543.83598600,1545350399999,399967057.78281649,500506,52772.93316800,207803692.00369182,BTCUSDT
2018-12-21,4051.86000000,4139.99000000,3764.00000000,3838.66000000,82343.85011200,1545436799999,325803279.96266961,436187,41365.88899700,163730611.79275242,BTCUSDT
2018-12-22,3840.25000000,3979.00000000,3785.00000000,3948.91000000,42822.35087200,1545523199999,165085567.58556617,249148,22602.32408400,87158242.38930173,BTCUSDT
2018-12-23,3948.91000000,4021.53000000,3870.00000000,3929.71000000,40117.53152900,1545609599999,158756356.81762381,258417,20216.88071500,80034022.88002953,BTCUSDT
2018-12-24,3929.71000000,4198.00000000,3924.83000000,4008.01000000,64647.80912900,1545695999999,264628967.06591075,400403,33124.50869800,135645529.90615216,BTCUSDT
2018-12-25,4010.11000000,4020.00000000,3646.41000000,3745.79000000,62725.62943200,1545782399999,235584302.95256106,356377,31541.97627200,118404280.49768580,BTCUSDT
2018-12-26,3745.56000000,3837.15000000,3656.74000000,3777.74000000,42629.37581700,1545868799999,159705204.50415568,267746,22292.21984500,83539027.82848030,BTCUSDT
2018-12-27,3777.74000000,3813.98000000,3535.00000000,3567.91000000,44097.39291200,1545955199999,161915849.87310502,262733,22249.47382400,81803859.05606579,BTCUSDT
2018-12-28,3567.89000000,3887.25000000,3540.04000000,3839.26000000,45964.30498700,1546041599999,170638519.24727850,251040,24449.92465300,90747704.90251859,BTCUSDT
2018-12-29,3839.00000000,3892.00000000,3670.00000000,3695.32000000,38874.37390300,1546127999999,148205200.10773722,244844,19522.19304600,74500753.17536026,BTCUSDT
2018-12-30,3696.71000000,3903.50000000,3657.90000000,3801.91000000,33222.36926200,1546214399999,124966229.52022896,218929,17427.34228500,65587964.90351099,BTCUSDT
2018-12-31,3803.12000000,3810.00000000,3630.33000000,3702.90000000,29991.77835000,1546300799999,111847216.11708208,190308,15523.79613400,57912258.76286516,BTCUSDT
2019-01-01,3701.23000000,3810.16000000,3642.00000000,3797.14000000,23741.68703300,1546387199999,88149249.09230461,154227,12919.15589900,47973435.86685800,BTCUSDT
2019-01-02,3796.45000000,3882.14000000,3750.45000000,3858.56000000,35156.46336900,1546473599999,133876627.24651060,218538,17921.60011400,68277897.66105788,BTCUSDT
2019-01-03,3857.57000000,3862.74000000,3730.00000000,3766.78000000,29406.94835900,1546559999999,111657372.69526468,199812,14793.08326700,56172495.42692984,BTCUSDT
2019-01-04,3767.20000000,3823.64000000,3703.57000000,3792.01000000,29519.55467100,1546646399999,111034550.64066196,192232,15579.30325800,58616203.97789647,BTCUSDT
2019-01-05,3790.09000000,3840.99000000,3751.00000000,3770.96000000,30490.66775100,1546732799999,115893501.27515878,203673,14908.91417500,56667455.38615935,BTCUSDT
